time,temperature,humidity,precipitation,pressure
1940-05-02,14.61,89.50,10.80,990.64
1940-05-03,13.36,92.12,25.90,984.58
1940-05-04,15.29,79.29,0.00,984.87
1940-05-05,16.53,77.08,5.50,987.38
1940-05-06,14.96,76.04,5.00,991.84
1940-05-07,14.78,74.38,1.00,996.70
1940-05-08,15.47,68.21,0.10,996.74
1940-05-09,15.89,71.29,0.10,996.10
1940-05-10,16.35,74.83,0.40,996.50
1940-05-11,17.06,74.79,0.20,995.75
1940-05-12,16.82,75.29,0.80,995.37
1940-05-13,15.87,77.83,2.90,996.62
1940-05-14,15.56,68.00,1.00,996.52
1940-05-15,16.12,69.96,2.20,988.37
1940-05-16,13.12,81.79,9.60,979.48
1940-05-17,9.76,82.46,36.90,982.22
1940-05-18,13.65,68.12,1.70,987.88
1940-05-19,14.55,65.75,0.00,991.08
1940-05-20,14.45,68.21,1.20,994.69
1940-05-21,16.07,76.38,0.70,997.88
1940-05-22,17.02,73.71,0.00,995.23
1940-05-23,15.99,70.96,0.00,991.82
1940-05-24,17.98,72.00,0.00,995.56
1940-05-25,19.94,70.54,0.00,1000.05
1940-05-26,20.73,71.00,0.00,999.76
1940-05-27,19.27,67.04,0.00,996.97
1940-05-28,19.53,66.04,0.00,994.73
1940-05-29,19.22,66.04,0.20,990.02
1940-05-30,16.53,64.67,11.10,987.30
1940-05-31,18.66,43.67,0.00,994.17
1940-06-01,16.27,60.25,0.30,998.37
1940-06-02,14.90,72.29,1.00,999.83
1940-06-03,16.35,67.83,0.00,999.72
1940-06-04,18.00,64.12,0.10,999.36
1940-06-05,19.82,65.71,0.00,998.42
1940-06-06,19.93,67.67,0.60,996.11
1940-06-07,19.09,73.67,2.00,996.59
1940-06-08,20.33,71.00,0.30,996.82
1940-06-09,20.90,68.58,1.40,995.97
1940-06-10,21.01,67.58,0.60,995.73
1940-06-11,20.42,74.04,2.10,997.26
1940-06-12,19.20,70.42,0.00,994.76
1940-06-13,19.58,69.29,0.90,994.50
1940-06-14,20.20,72.29,0.30,995.50
1940-06-15,19.35,81.38,3.00,995.86
1940-06-16,18.05,87.04,13.10,995.10
1940-06-17,19.32,74.21,1.20,993.68
1940-06-18,20.52,75.12,5.90,993.10
1940-06-19,20.04,77.96,3.50,994.68
1940-06-20,19.36,79.67,0.30,995.10
1940-06-21,20.11,75.92,0.10,993.15
1940-06-22,18.85,84.00,10.10,987.15
1940-06-23,19.75,83.88,7.00,984.44
1940-06-24,18.80,83.92,9.50,985.14
1940-06-25,16.87,83.54,7.70,988.00
1940-06-26,19.09,73.83,0.20,992.35
1940-06-27,18.83,73.79,0.20,996.26
1940-06-28,17.19,75.83,5.60,998.78
1940-06-29,18.52,64.50,0.00,998.15
1940-06-30,21.25,67.88,0.00,997.71
1940-07-01,22.09,69.17,0.00,995.74
1940-07-02,22.88,74.12,0.80,995.20
1940-07-03,23.32,77.21,0.70,993.22
1940-07-04,19.46,80.96,2.50,990.54
1940-07-05,20.67,76.46,0.40,993.34
1940-07-06,22.03,71.71,0.30,996.99
1940-07-07,21.39,83.17,25.10,993.03
1940-07-08,18.37,85.29,13.60,991.62
1940-07-09,20.18,59.04,0.00,997.78
1940-07-10,20.39,67.92,0.00,996.53
1940-07-11,21.99,70.88,0.00,996.03
1940-07-12,20.35,73.62,8.80,992.74
1940-07-13,18.91,56.38,0.00,997.52
1940-07-14,19.30,66.38,0.00,1000.01
1940-07-15,20.41,68.46,0.00,996.69
1940-07-16,18.99,66.92,6.80,989.35
1940-07-17,20.07,58.33,0.00,991.10
1940-07-18,19.45,76.79,1.20,994.45
1940-07-19,19.63,79.38,0.60,999.68
1940-07-20,21.48,76.75,0.00,1002.09
1940-07-21,22.56,76.50,0.70,997.38
1940-07-22,21.60,80.92,3.50,994.67
1940-07-23,21.38,83.25,8.50,994.78
1940-07-24,22.66,80.62,2.10,995.07
1940-07-25,25.20,74.38,0.00,994.99
1940-07-26,24.60,76.38,0.00,993.55
1940-07-27,22.18,81.75,1.00,992.97
1940-07-28,19.79,82.08,6.20,995.97
1940-07-29,19.47,66.79,0.60,999.47
1940-07-30,18.34,66.00,0.40,1000.20
1940-07-31,18.75,68.29,0.20,1001.28
1940-08-01,20.39,65.88,0.00,998.29
1940-08-02,22.22,60.54,0.00,997.91
1940-08-03,21.61,56.88,0.10,1002.89
1940-08-04,21.80,60.58,0.00,1002.39
1940-08-05,22.69,64.00,0.00,996.84
1940-08-06,23.80,67.12,2.60,989.93
1940-08-07,23.65,70.96,1.60,994.23
1940-08-08,23.45,75.42,0.50,999.25
1940-08-09,24.23,77.54,0.90,1000.57
1940-08-10,22.61,79.75,5.40,997.34
1940-08-11,23.70,76.54,1.80,995.96
1940-08-12,21.29,74.50,2.20,996.84
1940-08-13,19.75,75.38,10.30,995.59
1940-08-14,19.83,67.04,1.00,999.73
1940-08-15,19.75,64.33,0.00,1002.26
1940-08-16,20.26,69.21,0.00,1001.75
1940-08-17,20.32,64.92,0.70,1004.97
1940-08-18,19.99,56.58,0.00,1003.42
1940-08-19,20.03,64.33,0.00,996.66
1940-08-20,19.94,68.46,0.90,989.85
1940-08-21,17.74,63.79,0.50,988.59
1940-08-22,17.85,48.75,0.10,981.79
1940-08-23,17.65,46.00,0.00,991.18
1940-08-24,17.70,45.58,0.10,993.81
1940-08-25,16.82,51.12,0.10,1004.60
1940-08-26,17.89,55.04,0.00,1007.05
1940-08-27,19.28,59.83,0.00,1004.11
1940-08-28,19.47,61.62,0.00,1000.92
1940-08-29,20.98,65.12,0.00,997.73
1940-08-30,20.09,58.21,2.80,996.42
1940-08-31,17.50,55.04,1.50,1005.97
1940-09-01,18.65,50.29,0.00,1007.55
1940-09-02,20.01,60.62,0.00,1003.23
1940-09-03,20.95,65.67,0.00,1002.69
1940-09-04,20.84,69.75,0.40,1004.53
1940-09-05,21.42,70.58,0.00,1005.12
1940-09-06,22.07,66.42,0.00,1003.13
1940-09-07,22.15,59.54,0.00,999.45
1940-09-08,21.92,41.17,0.00,995.18
1940-09-09,18.32,60.17,0.10,990.58
1940-09-10,16.12,78.96,6.20,988.76
1940-09-11,16.10,68.42,3.80,990.67
1940-09-12,13.99,61.42,2.80,998.43
1940-09-13,14.60,59.58,0.00,999.51
1940-09-14,15.70,65.50,0.00,989.40
1940-09-15,16.03,81.88,8.20,981.50
1940-09-16,16.94,68.08,0.00,990.18
1940-09-17,17.85,71.17,0.00,997.72
1940-09-18,17.99,71.04,0.00,999.47
1940-09-19,19.52,71.62,0.00,999.76
1940-09-20,19.93,65.33,0.00,998.38
1940-09-21,19.39,65.58,0.00,999.37
1940-09-22,19.85,70.96,0.00,1000.88
1940-09-23,21.83,71.42,0.00,1000.32
1940-09-24,19.00,69.62,0.00,998.24
1940-09-25,19.14,67.67,0.00,997.05
1940-09-26,18.47,71.21,0.00,998.92
1940-09-27,18.43,69.71,0.00,1000.95
1940-09-28,19.57,69.08,0.40,990.56
1940-09-29,13.26,83.21,21.00,988.89
1940-09-30,11.76,67.08,0.50,993.76
1940-10-01,11.32,81.04,6.50,992.37
1940-10-02,12.77,87.62,26.90,991.41
1940-10-03,15.22,82.21,9.10,1000.07
1940-10-04,12.87,84.54,1.80,1001.97
1940-10-05,14.50,80.79,0.00,1003.92
1940-10-06,14.68,79.38,0.00,1002.80
1940-10-07,14.73,82.67,1.10,997.31
1940-10-08,15.57,83.17,0.10,997.53
1940-10-09,16.24,83.79,0.90,997.35
1940-10-10,15.81,79.33,0.40,995.07
1940-10-11,16.43,83.04,2.90,994.70
1940-10-12,12.80,89.92,33.90,997.49
1940-10-13,14.20,88.25,21.60,992.86
1940-10-14,13.48,87.17,0.50,996.80
1940-10-15,13.29,86.21,0.20,999.83
1940-10-16,12.08,86.71,0.10,1001.35
1940-10-17,13.02,79.46,0.00,1001.27
1940-10-18,10.20,72.79,0.00,999.87
1940-10-19,9.10,72.29,0.00,998.65
1940-10-20,9.64,82.17,0.00,995.99
1940-10-21,11.41,85.08,0.00,994.00
1940-10-22,11.85,85.96,0.20,990.90
1940-10-23,11.29,82.46,0.00,988.81
1940-10-24,11.15,87.96,1.10,987.04
1940-10-25,9.94,91.96,3.40,975.70
1940-10-26,9.42,86.25,2.80,975.20
1940-10-27,9.63,87.50,8.30,984.62
1940-10-28,8.11,88.29,6.30,993.11
1940-10-29,7.19,86.25,1.40,990.01
1940-10-30,4.91,86.67,3.80,989.52
1940-10-31,5.44,68.46,0.20,1001.20
1940-11-01,8.73,79.54,0.10,1001.85
1940-11-02,8.28,83.67,0.10,998.04
1940-11-03,8.22,70.25,0.00,997.24
1940-11-04,10.00,81.38,0.00,991.75
1940-11-05,11.20,86.17,0.90,993.43
1940-11-06,10.79,92.79,6.90,992.52
1940-11-07,7.60,85.04,0.00,991.28
1940-11-08,6.08,75.79,0.00,998.94
1940-11-09,4.36,73.83,0.00,1001.46
1940-11-10,3.70,78.29,0.00,997.67
1940-11-11,5.49,87.75,2.60,997.28
1940-11-12,5.50,93.00,2.30,990.36
1940-11-13,5.39,88.75,0.10,987.57
1940-11-14,7.64,89.92,12.80,989.20
1940-11-15,7.17,92.54,2.50,986.67
1940-11-16,8.20,89.62,11.80,985.47
1940-11-17,8.45,89.25,18.00,977.27
1940-11-18,6.83,85.21,1.80,982.40
1940-11-19,5.05,82.21,1.30,988.32
1940-11-20,4.31,85.62,0.00,997.44
1940-11-21,4.05,77.21,0.00,1004.51
1940-11-22,3.70,78.33,0.00,1003.02
1940-11-23,4.06,81.62,0.00,998.94
1940-11-24,4.33,67.54,0.00,1002.63
1940-11-25,2.63,65.38,0.00,1011.16
1940-11-26,0.75,74.21,0.00,1014.07
1940-11-27,1.73,76.17,0.00,1006.76
1940-11-28,2.63,76.83,0.20,996.23
1940-11-29,1.88,54.33,0.00,996.07
1940-11-30,1.51,41.75,0.00,998.27
1940-12-01,-0.18,58.42,0.00,1003.23
1940-12-02,-2.90,69.33,0.00,1006.33
1940-12-03,-2.97,70.92,0.00,1006.73
1940-12-04,-2.90,71.12,0.00,1003.79
1940-12-05,-1.89,65.96,0.00,994.51
1940-12-06,-0.31,79.92,0.20,978.35
1940-12-07,0.17,76.08,0.00,971.52
1940-12-08,1.99,58.88,0.00,985.68
1940-12-09,1.67,62.58,0.00,997.34
1940-12-10,1.68,69.54,0.10,988.37
1940-12-11,1.44,73.79,1.00,977.51
1940-12-12,1.82,55.75,0.00,983.29
1940-12-13,1.03,57.00,0.00,997.88
1940-12-14,-1.41,61.54,0.00,1004.70
1940-12-15,-0.57,75.00,0.50,1005.77
1940-12-16,-2.57,72.96,0.60,1012.99
1940-12-17,-4.38,65.38,0.00,1015.67
1940-12-18,-3.68,57.92,0.00,1013.79
1940-12-19,-1.75,56.96,0.00,1005.09
1940-12-20,-1.08,64.25,0.00,1001.63
1940-12-21,-2.31,67.71,0.00,1003.43
1940-12-22,-2.05,64.50,0.30,996.74
1940-12-23,-4.15,56.33,0.60,995.77
1940-12-24,-3.72,55.29,0.00,994.58
1940-12-25,-2.23,61.33,0.00,998.26
1940-12-26,-3.86,69.71,0.00,1005.36
1940-12-27,-5.02,64.83,0.00,1005.53
1940-12-28,-3.63,65.00,0.00,1007.32
1940-12-29,-2.47,67.08,0.00,1005.23
1940-12-30,-1.43,74.12,0.10,997.09
1940-12-31,-0.05,82.25,0.70,986.03
1941-01-01,0.83,91.25,3.00,975.91
1941-01-02,-0.64,92.50,24.30,973.77
1941-01-03,2.42,92.12,28.30,975.80
1941-01-04,2.58,94.08,14.60,987.51
1941-01-05,1.63,93.46,1.10,996.47
1941-01-06,-0.92,89.75,0.00,1000.85
1941-01-07,-3.29,88.62,0.00,1001.89
1941-01-08,-4.37,87.33,0.00,1000.25
1941-01-09,-1.92,81.83,4.30,993.55
1941-01-10,-4.30,84.33,2.80,998.12
1941-01-11,-8.54,80.25,0.00,992.48
1941-01-12,-6.30,77.62,0.00,994.58
1941-01-13,-7.01,79.62,0.00,997.98
1941-01-14,-9.82,80.92,0.00,991.11
1941-01-15,-7.05,77.88,0.00,975.60
1941-01-16,-5.47,86.25,10.80,968.97
1941-01-17,-3.50,66.21,0.60,975.20
1941-01-18,-9.25,68.12,0.00,992.26
1941-01-19,-5.07,80.83,0.30,991.50
1941-01-20,-3.22,85.04,0.50,991.00
1941-01-21,2.85,89.58,1.80,986.94
1941-01-22,2.53,92.42,18.60,978.35
1941-01-23,2.97,92.25,1.00,983.47
1941-01-24,2.11,89.38,0.00,984.09
1941-01-25,0.76,91.33,0.20,985.84
1941-01-26,1.12,88.67,0.00,989.93
1941-01-27,-0.04,89.17,0.00,996.87
1941-01-28,0.37,89.96,3.60,998.73
1941-01-29,-0.33,90.83,0.40,999.53
1941-01-30,-1.82,83.58,0.00,1000.93
1941-01-31,-1.50,85.79,14.20,994.45
1941-02-01,-1.82,87.96,0.80,986.26
1941-02-02,-6.73,87.83,0.00,985.51
1941-02-03,-3.47,88.92,5.10,979.57
1941-02-04,0.17,87.62,12.60,979.25
1941-02-05,-2.01,77.25,1.00,989.81
1941-02-06,-6.21,79.88,0.00,988.87
1941-02-07,-5.45,78.38,0.00,992.35
1941-02-08,-2.45,77.38,0.00,996.01
1941-02-09,-0.93,81.50,0.00,1002.02
1941-02-10,0.76,82.25,0.00,1002.00
1941-02-11,0.46,87.83,0.00,999.57
1941-02-12,0.63,92.38,0.20,994.35
1941-02-13,3.18,92.88,3.70,986.69
1941-02-14,4.10,92.21,0.20,984.67
1941-02-15,5.08,91.42,5.40,985.94
1941-02-16,4.60,91.46,12.50,983.81
1941-02-17,3.62,96.38,15.90,982.85
1941-02-18,3.96,91.17,0.80,980.25
1941-02-19,1.97,89.67,0.00,981.40
1941-02-20,2.69,89.04,2.10,979.97
1941-02-21,4.41,66.33,1.50,974.86
1941-02-22,2.33,50.50,0.00,982.76
1941-02-23,2.82,68.96,0.10,982.27
1941-02-24,3.11,70.79,0.00,982.50
1941-02-25,3.10,60.04,0.20,985.35
1941-02-26,3.42,62.29,0.00,992.96
1941-02-27,3.34,68.96,0.00,1006.33
1941-02-28,3.25,71.83,0.00,1009.35
1941-03-01,5.10,79.04,0.20,1006.17
1941-03-02,6.37,82.62,0.00,1004.25
1941-03-03,7.62,85.54,4.20,995.35
1941-03-04,7.42,91.96,11.50,984.05
1941-03-05,6.63,73.75,13.10,978.87
1941-03-06,5.45,60.79,0.00,987.12
1941-03-07,7.07,74.96,1.00,994.89
1941-03-08,7.47,87.21,38.60,993.37
1941-03-09,6.57,80.21,2.10,993.10
1941-03-10,5.81,77.29,0.20,991.62
1941-03-11,7.28,73.54,0.00,992.82
1941-03-12,6.82,67.17,0.00,994.76
1941-03-13,5.67,66.88,0.00,999.17
1941-03-14,4.68,70.00,0.00,1001.57
1941-03-15,5.76,72.88,0.00,1006.71
1941-03-16,6.67,78.42,0.00,1004.98
1941-03-17,6.35,80.29,2.30,997.27
1941-03-18,2.55,73.33,9.80,1001.95
1941-03-19,1.98,62.12,0.00,1003.13
1941-03-20,3.50,67.67,0.00,1001.88
1941-03-21,5.31,72.00,0.00,998.81
1941-03-22,7.38,78.54,0.00,992.43
1941-03-23,9.48,79.62,0.00,986.48
1941-03-24,9.30,68.25,0.20,992.00
1941-03-25,7.92,75.71,0.10,999.62
1941-03-26,9.68,76.33,0.00,996.32
1941-03-27,10.44,79.00,0.00,993.54
1941-03-28,10.18,83.29,4.00,987.28
1941-03-29,10.94,75.58,2.00,982.51
1941-03-30,8.36,86.33,8.00,983.24
1941-03-31,10.56,83.46,5.50,985.50
1941-04-01,8.67,79.79,0.70,985.44
1941-04-02,6.31,87.08,12.90,984.90
1941-04-03,7.92,80.38,0.10,992.02
1941-04-04,10.27,76.75,0.10,996.42
1941-04-05,9.86,88.04,11.10,992.95
1941-04-06,9.82,86.67,21.00,985.02
1941-04-07,9.59,82.67,16.60,976.74
1941-04-08,8.88,66.92,2.90,985.22
1941-04-09,6.25,75.96,10.40,992.50
1941-04-10,3.18,68.54,2.40,997.75
1941-04-11,3.09,63.92,1.30,1001.44
1941-04-12,6.08,62.29,0.00,1002.45
1941-04-13,8.91,70.71,0.00,1003.67
1941-04-14,10.59,74.33,0.00,1001.43
1941-04-15,9.96,75.92,0.00,994.01
1941-04-16,10.93,78.08,1.30,988.14
1941-04-17,11.30,81.04,1.70,988.62
1941-04-18,11.82,74.33,0.20,989.81
1941-04-19,11.28,74.04,0.50,994.29
1941-04-20,12.79,75.21,0.00,996.53
1941-04-21,14.39,72.29,0.00,994.35
1941-04-22,12.68,79.50,0.60,994.27
1941-04-23,13.35,78.96,1.40,994.10
1941-04-24,11.86,79.96,1.00,990.28
1941-04-25,9.72,86.75,37.60,979.97
1941-04-26,11.12,84.83,12.80,975.04
1941-04-27,10.77,73.92,3.00,981.02
1941-04-28,12.00,71.67,3.30,987.97
1941-04-29,13.45,77.50,4.20,994.70
1941-04-30,12.50,78.21,0.00,995.36
1941-05-01,11.97,90.83,11.50,987.99
1941-05-02,13.19,78.79,0.60,986.18
1941-05-03,12.21,79.08,2.40,987.30
1941-05-04,8.98,78.00,12.20,993.82
1941-05-05,10.17,69.92,1.00,994.74
1941-05-06,10.52,67.17,0.00,991.44
1941-05-07,11.52,70.79,0.50,991.31
1941-05-08,11.20,79.08,4.30,992.31
1941-05-09,11.82,70.58,0.80,994.78
1941-05-10,12.28,73.62,0.20,991.24
1941-05-11,12.62,77.21,13.80,989.82
1941-05-12,9.38,82.42,15.40,995.63
1941-05-13,12.03,70.42,0.00,999.60
1941-05-14,14.45,71.00,0.00,996.82
1941-05-15,14.81,72.71,0.00,992.91
1941-05-16,13.72,80.00,0.70,991.71
1941-05-17,13.25,83.46,3.00,993.62
1941-05-18,14.63,85.75,9.30,989.67
1941-05-19,14.89,90.79,18.30,984.87
1941-05-20,12.93,76.96,2.40,988.84
1941-05-21,14.67,71.79,0.60,993.15
1941-05-22,16.37,73.83,0.00,997.68
1941-05-23,16.51,83.62,2.70,994.07
1941-05-24,14.70,80.75,9.70,989.00
1941-05-25,15.33,78.62,8.10,990.62
1941-05-26,15.03,80.25,8.50,990.35
1941-05-27,15.61,84.96,9.50,990.99
1941-05-28,15.40,83.67,7.70,987.54
1941-05-29,15.23,75.96,0.70,988.13
1941-05-30,16.61,71.08,0.00,991.47
1941-05-31,15.50,79.00,1.80,993.92
1941-06-01,18.00,71.08,0.00,999.06
1941-06-02,18.89,75.12,0.00,1000.06
1941-06-03,21.29,74.58,0.00,998.52
1941-06-04,20.72,78.00,0.30,998.95
1941-06-05,20.43,76.38,0.10,995.01
1941-06-06,17.09,82.29,1.60,992.46
1941-06-07,17.32,83.29,9.60,990.97
1941-06-08,15.68,87.58,10.70,990.11
1941-06-09,16.21,83.12,1.60,987.42
1941-06-10,16.20,88.96,28.60,982.13
1941-06-11,15.82,84.83,11.10,987.24
1941-06-12,17.34,69.08,1.00,991.80
1941-06-13,15.98,88.71,2.90,989.65
1941-06-14,15.23,78.33,1.50,998.12
1941-06-15,16.52,71.04,0.60,1002.15
1941-06-16,17.49,75.25,0.40,999.73
1941-06-17,18.72,76.88,0.30,1001.43
1941-06-18,19.54,72.96,1.40,1003.30
1941-06-19,21.23,78.42,0.00,1002.32
1941-06-20,24.00,76.29,0.00,999.93
1941-06-21,23.44,76.08,0.00,998.76
1941-06-22,22.70,81.04,2.50,998.84
1941-06-23,22.81,82.92,1.00,997.85
1941-06-24,23.13,83.67,5.10,998.42
1941-06-25,23.01,83.21,4.40,1000.07
1941-06-26,24.10,80.00,1.90,1001.60
1941-06-27,23.84,81.58,3.20,999.22
1941-06-28,24.58,75.08,0.50,995.23
1941-06-29,21.23,77.08,5.60,991.62
1941-06-30,19.65,69.96,0.90,995.56
1941-07-01,19.65,71.83,2.20,999.43
1941-07-02,21.33,71.92,0.70,997.16
1941-07-03,20.60,72.12,2.10,995.24
1941-07-04,22.47,70.62,0.00,995.55
1941-07-05,23.17,71.04,1.30,998.43
1941-07-06,22.32,76.79,3.00,1002.11
1941-07-07,23.40,72.50,0.00,1002.60
1941-07-08,22.71,66.83,2.20,998.04
1941-07-09,22.31,67.83,0.10,995.18
1941-07-10,23.31,72.92,0.40,991.75
1941-07-11,23.02,79.54,4.00,992.48
1941-07-12,23.62,78.42,4.20,993.51
1941-07-13,24.00,79.17,0.50,994.06
1941-07-14,24.52,71.17,0.00,994.80
1941-07-15,23.52,70.38,0.00,994.47
1941-07-16,20.39,71.00,2.50,991.23
1941-07-17,21.59,44.00,0.00,994.57
1941-07-18,21.97,54.54,0.00,997.90
1941-07-19,22.37,63.17,0.00,996.81
1941-07-20,20.30,77.25,9.90,996.30
1941-07-21,21.67,71.88,1.80,997.51
1941-07-22,22.04,67.38,1.20,999.78
1941-07-23,22.51,68.33,0.00,997.07
1941-07-24,23.65,71.88,1.40,997.42
1941-07-25,24.95,73.29,0.00,996.93
1941-07-26,26.09,70.79,0.00,994.25
1941-07-27,24.92,68.83,15.30,990.86
1941-07-28,20.34,85.12,15.30,989.88
1941-07-29,22.01,77.75,0.60,989.32
1941-07-30,20.43,82.08,4.50,987.07
1941-07-31,17.86,84.50,10.90,987.65
1941-08-01,18.12,79.67,0.00,992.34
1941-08-02,20.42,73.83,0.00,994.81
1941-08-03,22.19,74.54,0.00,993.23
1941-08-04,20.13,80.79,2.20,990.08
1941-08-05,21.35,64.08,0.00,990.24
1941-08-06,19.65,51.92,1.90,988.21
1941-08-07,16.89,62.33,0.10,992.55
1941-08-08,17.90,66.00,0.30,993.43
1941-08-09,19.32,64.12,0.00,991.71
1941-08-10,19.40,65.88,0.20,996.53
1941-08-11,22.15,68.38,0.00,996.95
1941-08-12,22.05,68.29,0.00,994.26
1941-08-13,19.32,85.17,4.30,993.27
1941-08-14,21.18,75.79,0.00,996.73
1941-08-15,22.34,72.33,0.10,995.38
1941-08-16,22.11,69.21,0.00,992.18
1941-08-17,22.60,65.38,0.00,992.69
1941-08-18,23.57,63.42,0.10,997.32
1941-08-19,22.97,66.75,0.10,995.66
1941-08-20,20.62,76.79,16.70,990.82
